mass_A
t,x,y
3.444000000e1,1.115052305e-1,5.386264970e-1
3.446000000e1,1.115274755e-1,5.387994017e-1
3.448000000e1,1.114953600e-1,5.393490079e-1
3.450000000e1,1.112130156e-1,5.399256236e-1
3.452000000e1,1.111605891e-1,5.401185167e-1
3.454000000e1,1.109929972e-1,5.405982320e-1
3.456000000e1,1.108349299e-1,5.408306878e-1
3.458000000e1,1.106340424e-1,5.409216855e-1
3.460000000e1,1.104079562e-1,5.410078494e-1
3.462000000e1,1.100793122e-1,5.411807894e-1
3.464000000e1,1.100138000e-1,5.411127718e-1
3.466000000e1,1.095732834e-1,5.410758316e-1
3.468000000e1,1.093466479e-1,5.413205702e-1
3.470000000e1,1.089937134e-1,5.412393721e-1
3.472000000e1,1.090458964e-1,5.415083174e-1
3.474000000e1,1.086784964e-1,5.416944532e-1
3.476000000e1,1.085149294e-1,5.420132723e-1
3.478000000e1,1.080900117e-1,5.421985081e-1
3.480000000e1,1.078901551e-1,5.424601373e-1
3.482000000e1,1.078916050e-1,5.428628281e-1
3.484000000e1,1.074150927e-1,5.430021158e-1
3.486000000e1,1.072485202e-1,5.432018029e-1
3.488000000e1,1.072333406e-1,5.432647956e-1
3.490000000e1,1.072328869e-1,5.432838741e-1
3.492000000e1,1.072329414e-1,5.432983096e-1
3.494000000e1,1.072306351e-1,5.433125333e-1
3.496000000e1,1.072321346e-1,5.433238229e-1
3.498000000e1,1.072310523e-1,5.433392331e-1
3.500000000e1,1.071757835e-1,5.433792655e-1
3.502000000e1,1.070471965e-1,5.434839223e-1
3.504000000e1,1.070006679e-1,5.438597507e-1
3.506000000e1,1.069967633e-1,5.439235512e-1
3.508000000e1,1.070454387e-1,5.439588993e-1
3.510000000e1,1.071395053e-1,5.439555764e-1
3.512000000e1,1.070614847e-1,5.439493706e-1
3.514000000e1,1.067615224e-1,5.434427719e-1
3.516000000e1,1.067976929e-1,5.437080598e-1
3.518000000e1,1.067705463e-1,5.437827926e-1
3.520000000e1,1.066378325e-1,5.441044487e-1
3.522000000e1,1.063731975e-1,5.442829234e-1
3.524000000e1,1.063482775e-1,5.443037935e-1
3.526000000e1,1.063370797e-1,5.443138508e-1
3.528000000e1,1.063278473e-1,5.443219625e-1
3.530000000e1,1.063205424e-1,5.443285596e-1
3.532000000e1,1.063149424e-1,5.443342725e-1
3.534000000e1,1.063095882e-1,5.443392969e-1
3.536000000e1,1.063051973e-1,5.443436949e-1
3.538000000e1,1.062977340e-1,5.443453543e-1
3.540000000e1,1.062942921e-1,5.443480546e-1
3.542000000e1,1.062902300e-1,5.443497400e-1
3.544000000e1,1.062875999e-1,5.443527282e-1
3.546000000e1,1.062844482e-1,5.443544738e-1
3.548000000e1,1.062824767e-1,5.443563278e-1
3.550000000e1,1.062802096e-1,5.443576420e-1
3.552000000e1,1.062790805e-1,5.443594140e-1
3.554000000e1,1.062771374e-1,5.443604747e-1
3.556000000e1,1.062760527e-1,5.443620605e-1
3.558000000e1,1.062748156e-1,5.443630717e-1
3.560000000e1,1.062752882e-1,5.443646693e-1
3.562000000e1,1.062737657e-1,5.443650969e-1
3.564000000e1,1.062733491e-1,5.443660050e-1
3.566000000e1,1.062729289e-1,5.443666891e-1
3.568000000e1,1.062738860e-1,5.443672248e-1
3.570000000e1,1.062725696e-1,5.443679531e-1
3.572000000e1,1.062720716e-1,5.443680586e-1
3.574000000e1,1.062714113e-1,5.443683645e-1
